GENE	H1.DN	H1.KO2	H1.AzLow	H1.AzHigh	H2.DN	H2.KO2	H2.AzLow	H2.AzHigh	H3.DN	H3.KO2	H3.AzLow	H3.AzHigh
NR_036581_LOC100289255	0.00	0.00	0.02	0.02	0.00	0.01	0.03	0.03	0.00	0.01	0.02	0.03
NR_036539_LOC644656	1.76	1.81	0.73	0.54	2.26	1.71	0.54	0.78	1.63	1.80	1.08	0.64
NR_036538_LOC646903	1.49	1.14	0.61	0.35	1.94	2.01	0.72	0.65	1.12	1.42	0.69	0.44
NR_036534_FLJ36644	0.11	0.12	0.00	0.01	0.12	0.20	0.07	0.03	0.15	0.16	0.12	0.05
NR_036515_LOC284454	0.50	0.99	0.19	0.22	0.85	0.72	0.38	0.40	0.66	0.81	0.36	0.58
NR_034147_LOC149773	0.01	0.00	0.03	0.01	0.03	0.01	0.06	0.02	0.07	0.02	0.04	0.03
NR_034013_LOC100131176	0.21	0.26	0.00	0.00	0.34	0.56	0.20	0.00	1.00	0.38	0.35	0.00
NR_033938_LOC100131366	0.19	0.03	0.31	0.29	0.00	0.30	0.96	0.71	0.30	0.00	0.71	0.94
NR_033871_FLJ42351	0.10	0.06	0.22	0.33	0.15	0.00	0.25	0.18	0.05	0.15	0.25	0.70
NR_033867_LOC392232	0.09	0.08	0.02	0.06	0.02	0.01	0.00	0.02	0.07	0.02	0.01	0.06
NR_033853_LOC283194	0.02	0.00	0.02	0.06	0.06	0.07	0.13	0.12	0.13	0.07	0.20	0.19
NR_033800_NCRNA00257	0.33	0.34	0.12	0.11	0.30	0.26	0.23	0.00	0.21	0.20	0.15	0.00
NR_033658_LOC647012	0.20	0.14	0.12	0.08	0.23	0.20	0.11	0.15	0.21	0.14	0.13	0.03
NR_033400_C19orf34	0.10	0.16	0.05	0.10	0.05	0.05	0.02	0.00	0.06	0.07	0.00	0.04
NR_033385_KLHDC9	0.72	0.17	1.62	0.86	0.72	1.00	1.25	1.70	0.30	0.25	1.05	1.70
NR_033344_SLC38A6	0.00	0.65	0.00	0.00	0.37	0.56	0.30	0.00	0.00	0.47	0.00	0.00
NR_033339_C4orf42	2.44	1.43	0.74	0.76	2.03	1.37	0.37	0.00	2.37	1.91	1.54	0.00
NR_033327_EFHC1	0.48	0.00	0.85	0.89	0.00	0.00	1.00	0.96	0.00	0.00	0.61	1.34
NR_033298_CCDC163P	0.22	0.00	0.26	0.00	0.37	0.12	0.40	0.00	0.61	0.00	0.27	0.00
NR_033296_CCDC163P	0.00	0.23	0.18	0.16	0.00	0.50	0.00	0.17	0.00	0.30	0.00	0.00
NR_033263_C20orf200	0.05	0.02	0.03	0.08	0.08	0.03	0.06	0.17	0.02	0.00	0.11	0.14
NR_033245_LOC641746	0.06	0.15	0.18	0.06	0.04	0.09	0.35	0.06	0.00	0.14	0.07	0.00
NR_033189_LOC100130000	0.05	0.13	0.00	0.00	0.00	0.22	0.00	0.18	0.00	0.25	0.00	0.00
NR_033183_MIB2	0.00	0.00	0.00	0.87	1.06	1.02	0.00	1.38	1.40	1.32	0.82	2.55
NR_029427_WDR13	0.00	0.00	0.00	0.63	0.00	0.00	0.00	1.87	0.00	0.00	0.00	2.35
NR_029409_LOC255512	0.29	0.78	0.21	0.14	0.65	0.80	0.33	0.12	0.52	0.70	0.35	0.34
NR_028505_C17orf91	0.00	0.00	0.00	0.28	0.00	0.00	0.14	0.33	0.00	0.00	0.00	0.32
NR_027691_PANX2	0.34	0.00	0.00	0.00	0.39	0.00	0.28	0.30	0.49	0.00	0.23	0.35
NR_027424_FAM66E	0.03	0.00	0.02	0.02	0.10	0.03	0.06	0.00	0.04	0.00	0.07	0.02
NR_027418_LOC100499466	1.32	1.47	0.38	1.24	0.00	1.14	0.00	0.00	1.59	1.69	0.00	0.00
NR_027355_LOC645166	0.10	0.00	0.00	0.39	0.23	0.16	0.15	0.90	0.32	0.22	0.25	0.51
NR_027338_TPI1P3	1.21	1.59	0.00	0.00	0.00	0.75	0.00	0.00	0.00	1.76	0.00	1.69
NR_027245_C18orf20	0.00	0.03	0.00	0.05	0.00	0.04	0.02	0.09	0.02	0.05	0.00	0.04
NR_027154_LOC641298	8.63	6.90	0.34	7.85	4.73	0.82	0.44	0.83	1.13	0.35	0.89	6.68
NR_027108_LOC285593	0.03	0.10	0.10	0.11	0.00	0.00	0.03	0.03	0.00	0.00	0.09	0.03
NR_027043_NCR1	0.05	0.09	0.11	0.00	0.00	0.00	0.14	0.00	0.22	0.20	0.31	0.08
NR_026984_LOC90784	0.00	3.07	0.00	3.42	3.28	0.00	0.00	3.34	3.50	3.18	0.00	3.60
NR_026923_LOC643387	2.61	3.34	2.25	0.60	2.32	2.47	2.09	0.82	2.28	2.37	0.00	0.00
NR_026914_MGC16275	0.66	0.62	0.30	0.23	0.75	0.77	0.37	0.30	0.73	0.76	0.30	0.44
NR_026906_C17orf69	1.11	1.18	1.70	0.00	1.78	0.00	2.13	0.00	0.00	0.00	2.22	0.00
NR_026878_MGC12982	0.47	0.13	0.11	0.07	0.42	0.44	0.21	0.12	0.52	0.57	0.27	0.30
NR_026806_FLJ13224	0.11	0.41	0.20	0.19	0.00	0.25	0.16	0.11	0.00	0.15	0.11	0.09
NR_026759_1_FAM95B1	0.02	0.02	0.06	0.13	0.00	0.05	0.07	0.19	0.07	0.00	0.10	0.33
NR_026588_EFCAB2	1.76	1.74	0.98	2.66	1.96	1.82	0.00	2.90	1.93	0.70	1.25	1.52
NR_026583_RACGAP1P	2.73	1.91	3.68	4.37	3.51	1.58	5.75	6.80	3.85	2.40	5.67	7.22
NR_024594_LOC100131496	0.10	0.04	0.00	0.00	0.18	0.21	0.11	0.06	0.13	0.09	0.00	0.00
NR_024586_LOC100216545	1.36	1.63	0.80	0.66	1.43	1.64	0.80	0.00	0.70	0.98	0.15	0.56
NR_024534_ALG3	0.00	9.42	0.00	0.00	6.55	7.28	0.00	0.00	0.00	9.80	0.00	3.50
NR_024478_LOC100132354	0.04	0.05	0.07	0.09	0.02	0.04	0.04	0.07	0.04	0.08	0.09	0.09
NR_024445_LOC100128003	1.23	1.32	1.13	0.00	1.45	1.47	0.00	0.00	1.60	1.47	1.25	0.00
NR_024409_LOC100128164	0.00	0.12	0.00	0.00	0.09	0.10	0.00	0.00	0.00	0.14	0.00	0.00
NR_024403_LOC730101	2.38	2.92	0.75	1.13	2.34	3.03	1.56	1.26	1.94	2.95	1.36	1.87
NR_024398_LOC728723	0.27	0.00	0.00	0.57	0.00	0.00	0.29	0.51	0.36	0.00	0.00	0.39
NR_024361_FLJ10661	1.31	0.00	1.24	0.00	2.25	0.00	1.47	1.78	2.07	0.00	0.00	1.28
NR_024321_NCRNA00115	0.69	0.82	0.00	0.18	0.52	0.72	0.34	0.36	0.78	0.88	0.37	0.05
