"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"MKL2",223.41,243,246.99,240,779,808,988,1159,686.93,1494.01,1375,1057.95,583.02,686,788.4,2065.43,1708.7,1036,1910
"CD109",130.56,117.17,110.67,118.62,319.04,322.19,342.94,356.94,127.38,4847.29,5826.35,4561.27,8168.65,9118.38,11557.13,105.72,124.51,92.18,116.9
"ABTB1",53,38,44,40,104,89,111,97,127,294.02,319,197,627.9,784.89,644.96,456.5,381.03,161.7,229
"MAST2",599,592.07,579.01,512.07,1656.41,1799.02,1907.03,2495.52,2329.52,2047.81,1897.68,1357.65,2748.18,2337.33,2389.23,1090.09,1848.16,2146.7,2367.23
"KAT5",427.88,399.83,427.85,380.5,927.18,995.88,898.44,888.05,831.92,410.91,514.13,675.39,772.95,825.52,738.52,908.41,1039.28,526.3,656.53
"WWC2",1728.05,1609.94,1661.99,1578.18,3574.16,3986.12,4416,5149.78,3805.14,1425,1240.98,1461.52,1659.91,1539.88,1975.95,1872,2114.84,2107.56,3315.29
"CD163",2,1,0,1,0,6,1,209,197.26,16,22,16,3,0,2,10,3,6,7
"MYL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UBE2Z",1118.11,1051.99,1057,999.6,2941.86,3502.65,3892.58,3596.01,3216.28,3428.19,3725.37,4105.35,4421.07,4207.72,4315.87,2484.07,2892.74,2199.73,3341.57
"RGPD4",9.19,14.3,7.23,9.83,43.22,45.91,54.34,37.53,44.28,50.81,44.72,85.23,20.57,35.42,29.14,62.56,65.76,30.73,29.03
"PHYHIPL",1.14,9,4.43,8.77,24.28,46.29,30.42,134.37,149.07,1.29,1.26,0,0,0,0,29.29,35.24,62.85,70.39
"OR9A4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"ELF2",362.85,324.81,330,335,924.92,970.57,1066.74,1227.59,852.09,1151,1260,1184.04,567.03,743.8,681.27,763,1007.74,959.39,1538.93
"RAB14",638.39,589.99,568.97,593,1711.23,1991.98,2155.06,2415.43,1892.15,3703.76,3851.59,4487.53,2317.1,2321.59,2419.36,1680.58,2291.58,1900.34,2990.66
"CDH1",3217.03,3216.92,3034.41,2922.87,8058.05,9028.01,9233.63,1671.17,1834.61,398.71,61.13,362.47,30.46,40.16,37.99,99.84,65.19,28107.96,29127.08
"IZUMO1",3,7,5,3,3,6,14,0,6,33,19,59,0,0,0,3,3,4,2
"LOC286238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMIE",10,8,11,6,13,13,8,17,11,23,21,18,1,2,2,2,3,1,3
"PRDX2",2968.59,2883.84,2696.17,2486,7584,8808.56,8397.85,7959.94,8200.48,4292.85,4503.69,4814,3963.64,4201.28,3630.07,7326.04,9568.81,2677.56,4347.64
"APOA2",1,2,1,0,1,9,5,1984,1711.95,2,0,1,0,0,0,1,3,6,4
"AQP4",12,16,16,14,24,28,17,55,39,33,11,3,0,0,0,18,14,5,14
"PSMC6",910,828,855,814.43,3005,3600.23,3685,2798,2266,1427,1418.99,1775,1554.92,1379.36,1420,1601,2402,1053,1638
"SLC2A8",318.99,348.06,331,335.01,1108.64,1302.12,1278.15,961.86,961.38,210,234.29,179,303.71,308,272.77,391.99,383.98,1764.12,2129.48
