,Day0_1,Day1_1,Day2_1,Day3_1,Day4_1,Day5_1,Day8_1,Day14_1,Day0_2,Day1_2,Day2_2,Day3_2,Day4_2,Day5_2,Day8_2,Day14_2,Day0_3,Day1_3,Day2_3,Day3_3,Day4_3,Day5_3,Day8_3,Day14_3
5S_rRNA,350,230,217,175,197,187,2282,218,237,252,141,155,250,162,231,276,269,163,185,234,240,238,194,240
5_8S_rRNA,0,0,0,7,4,0,11,1,2,1,0,8,3,9,0,2,0,0,1,3,1,7,0,0
6M1-18,0,0,1,0,0,0,81,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
7M1-2,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
7SK,1068,761,315,300,255,273,2894,304,728,533,364,324,307,286,358,308,717,446,417,300,475,378,443,405
A1BG,340,330,278,227,322,356,713,310,190,149,132,172,262,228,333,225,304,183,186,197,279,416,349,371
A1BG-AS1,283,179,168,190,197,251,469,247,187,133,102,169,297,189,314,274,292,153,240,215,351,371,313,304
A1CF,8,3,9,9,4,2,424,6,7,0,5,3,4,6,3,1,4,0,15,11,13,3,9,7
A2M,113,11,39,25,27,41,576,26,33,6,30,26,11,20,39,56,55,11,41,21,62,82,47,44
A2M-AS1,46,8,21,19,10,47,122,22,49,3,23,9,12,6,23,40,47,3,26,26,38,50,21,48
A2ML1,3,16,25,8,8,12,707,4,9,2,15,20,3,14,14,5,7,1,30,19,25,32,12,10
A2MP1,0,0,2,1,0,0,136,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,3
A3GALT2,5,6,0,0,0,0,60,1,3,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0
A4GALT,329,213,52,50,89,117,303,79,473,600,98,115,194,145,122,156,385,136,160,199,222,541,163,350
A4GNT,0,0,0,0,0,0,90,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,7,0
AA06,0,0,0,0,1,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AAAS,1436,1848,2470,2041,1785,1309,2568,1474,1107,1643,2148,2308,2336,1849,2085,1774,1072,1472,2816,3020,2559,1380,1903,2087
AACS,380,619,802,953,1235,1347,2153,1074,362,466,652,834,1064,1143,1282,1257,383,582,866,1227,1976,1883,1250,1445
AACSP1,0,1,1,0,3,0,205,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
