Gene stable ID;Gene Name
ENSG00000001036;FUCA2
ENSG00000001631;KRIT1
ENSG00000002586;CD99
ENSG00000002822;MAD1L1
ENSG00000003096;KLHL13
ENSG00000003436;TFPI
ENSG00000004487;KDM1A
ENSG00000004534;RBM6
ENSG00000004766;VPS50
ENSG00000004838;ZMYND10
ENSG00000004897;CDC27
ENSG00000005001;PRSS22
ENSG00000005022;SLC25A5
ENSG00000005156;LIG3
ENSG00000005175;RPAP3
ENSG00000005249;PRKAR2B
ENSG00000005302;MSL3
ENSG00000005483;KMT2E
ENSG00000005801;ZNF195
ENSG00000005844;ITGAL
ENSG00000005882;PDK2
ENSG00000005884;ITGA3
ENSG00000005889;ZFX
ENSG00000006071;ABCC8
ENSG00000006194;ZNF263
ENSG00000006451;RALA
ENSG00000006468;ETV1
ENSG00000006606;CCL26
ENSG00000006607;FARP2
ENSG00000006634;DBF4
ENSG00000006744;ELAC2
ENSG00000006837;CDKL3
ENSG00000007080;CCDC124
ENSG00000007168;PAFAH1B1
ENSG00000007866;TEAD3
ENSG00000007968;E2F2
ENSG00000008018;PSMB1
ENSG00000008056;SYN1
ENSG00000008086;CDKL5
ENSG00000008128;CDK11A
ENSG00000008197;TFAP2D
ENSG00000008324;SS18L2
ENSG00000008988;RPS20
ENSG00000009307;CSDE1
ENSG00000010030;ETV7
ENSG00000010292;NCAPD2
ENSG00000010539;ZNF200
ENSG00000010818;HIVEP2
ENSG00000011007;ELOA
ENSG00000011052;NME1-NME2
ENSG00000011105;TSPAN9
ENSG00000011258;MBTD1
ENSG00000011295;TTC19
ENSG00000011405;PIK3C2A
ENSG00000011422;PLAUR
ENSG00000011426;ANLN
ENSG00000011451;WIZ
ENSG00000011454;RABGAP1
ENSG00000012048;BRCA1
ENSG00000012963;UBR7
ENSG00000013275;PSMC4
ENSG00000013297;CLDN11
ENSG00000013364;MVP
ENSG00000013583;HEBP1
ENSG00000013810;TACC3
ENSG00000014138;POLA2
ENSG00000014164;ZC3H3
ENSG00000014919;COX15
ENSG00000015171;ZMYND11
ENSG00000015676;NUDCD3
ENSG00000018625;ATP1A2
ENSG00000020426;MNAT1
ENSG00000020922;MRE11
ENSG00000021488;SLC7A9
ENSG00000022277;RTFDC1
ENSG00000022556;NLRP2
ENSG00000023287;RB1CC1
ENSG00000023445;BIRC3
ENSG00000023572;GLRX2
ENSG00000023608;SNAPC1
ENSG00000023839;ABCC2
ENSG00000023909;GCLM
ENSG00000024526;DEPDC1
ENSG00000025156;HSF2
ENSG00000025293;PHF20
ENSG00000025770;NCAPH2
ENSG00000026025;VIM
ENSG00000028116;VRK2
ENSG00000028203;VEZT
ENSG00000028310;BRD9
ENSG00000029363;BCLAF1
ENSG00000029993;HMGB3
ENSG00000030066;NUP160
ENSG00000030110;BAK1
ENSG00000031691;CENPQ
ENSG00000032219;ARID4A
ENSG00000033800;PIAS1
ENSG00000034693;PEX3
ENSG00000035499;DEPDC1B
ENSG00000035664;DAPK2
ENSG00000035720;STAP1
ENSG00000035928;RFC1
ENSG00000036549;ZZZ3
ENSG00000036672;USP2
ENSG00000037042;TUBG2
ENSG00000037241;RPL26L1
ENSG00000037749;MFAP3
ENSG00000037897;METTL1
ENSG00000038219;BOD1L1
ENSG00000038358;EDC4
ENSG00000038532;CLEC16A
ENSG00000039068;CDH1
ENSG00000039123;SKIV2L2
ENSG00000039523;RIPOR1
ENSG00000040275;SPDL1
ENSG00000040633;PHF23
ENSG00000040933;INPP4A
ENSG00000041357;PSMA4
ENSG00000041988;THAP3
ENSG00000042781;USH2A
ENSG00000042813;ZPBP
ENSG00000044115;CTNNA1
ENSG00000044574;HSPA5
ENSG00000046647;GEMIN8
ENSG00000046651;OFD1
ENSG00000047056;WDR37
ENSG00000047346;FAM214A
ENSG00000047410;TPR
ENSG00000047662;FAM184B
ENSG00000047849;MAP4
ENSG00000048028;USP28
ENSG00000048405;ZNF800
ENSG00000048649;RSF1
ENSG00000049541;RFC2
ENSG00000050393;MCUR1
ENSG00000050767;COL23A1
ENSG00000051180;RAD51
ENSG00000051341;POLQ
ENSG00000051825;MPHOSPH9
ENSG00000053108;FSTL4
ENSG00000053328;METTL24
ENSG00000053524;MCF2L2
ENSG00000053900;ANAPC4
ENSG00000054118;THRAP3
ENSG00000054267;ARID4B
ENSG00000054277;OPN3
ENSG00000054282;SDCCAG8
ENSG00000054598;FOXC1
ENSG00000054654;SYNE2
ENSG00000054796;SPO11
ENSG00000055044;NOP58
ENSG00000055070;SZRD1
ENSG00000055130;CUL1
ENSG00000056277;ZNF280C
ENSG00000056291;NPFFR2
ENSG00000057468;MSH4
ENSG00000057757;PITHD1
ENSG00000058056;USP13
ENSG00000058091;CDK14
ENSG00000058262;SEC61A1
ENSG00000058272;PPP1R12A
ENSG00000058453;CROCC
ENSG00000058600;POLR3E
ENSG00000058673;ZC3H11A
ENSG00000058804;NDC1
ENSG00000059122;FLYWCH1
ENSG00000059377;TBXAS1
ENSG00000059588;TARBP1
ENSG00000059758;CDK17
ENSG00000060339;CCAR1
ENSG00000060491;OGFR
ENSG00000060749;QSER1
ENSG00000061337;LZTS1
ENSG00000062598;ELMO2
ENSG00000062650;WAPL
ENSG00000062822;POLD1
ENSG00000063177;RPL18
ENSG00000063245;EPN1
ENSG00000063438;AHRR
ENSG00000064300;NGFR
ENSG00000064393;HIPK2
ENSG00000064607;SUGP2
ENSG00000064961;HMG20B
ENSG00000064999;ANKS1A
ENSG00000065029;ZNF76
ENSG00000065135;GNAI3
ENSG00000065243;PKN2
ENSG00000065328;MCM10
ENSG00000065491;TBC1D22B
ENSG00000065526;SPEN
ENSG00000065809;FAM107B
ENSG00000065883;CDK13
ENSG00000066027;PPP2R5A
ENSG00000066084;DIP2B
ENSG00000066117;SMARCD1
ENSG00000066135;KDM4A
ENSG00000066279;ASPM
ENSG00000066422;ZBTB11
ENSG00000066777;ARFGEF1
ENSG00000066923;STAG3
ENSG00000067048;DDX3Y
ENSG00000067066;SP100
ENSG00000067082;KLF6
ENSG00000067167;TRAM1
ENSG00000067208;EVI5
ENSG00000067248;DHX29
ENSG00000067334;DNTTIP2
ENSG00000067369;TP53BP1
ENSG00000067533;RRP15
ENSG00000067596;DHX8
ENSG00000067646;ZFY
ENSG00000067715;SYT1
ENSG00000067900;ROCK1
ENSG00000068394;GPKOW
ENSG00000068489;PRR11
ENSG00000068654;POLR1A
ENSG00000068784;SRBD1
ENSG00000068796;KIF2A
